The following base tokens are supported:

Symbol          Address                                            Decimals        Program        
BBSOL           Bybit2vBJGhPF52GBdNaQfUJ6ZpThSgHBobjWZpLPb4B       9               2020           
GIGA            63LfDmNb3MQ8mw9MtZ2To9bEA2M71kZUUGq5tiJxcqj9       5               2020           
GOAT            CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump       6               2020           
ROT             APoM2sXUzdRHTkUjXSsdUheX1wPPdP4HFLotmtRNMU8P       6               2020           
MEDUSA          Fosp9yoXQBdx8YqyURZePYzgpCnxp9XsfnQq69DRvvU4       6               2020           
DBR             DBRiDgJAMsM95moTzJs7M9LnkGErpbv9v6CUR1DXnUu5       6               2020           
WYAC            BEgBsVSKJSxreiCE1XmWWq8arnwit7xDqQXSWYgay9xP       6               2020           
FWOG            A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump       6               2020           
MANEKI          25hAyBQfoDhfWx9ay6rarbgvWGwDdNqcHsXS3jQ3mTDJ       5               2020           
USA             69kdRLyP5DTRkpHraaSZAQbWmAwzF9guKjZfzMXzcbAs       6               2020           
LOCKIN          8Ki8DpuWNxu9VsS3kQbarsCWMcFGWkzzA8pUPto9zBd5       9               2020           
MUMU            5LafQUrVco6o7KMz42eqVEJ9LW31StPyGjeeu5sKoMtA       6               2020           
AURA            DtR4D9FtVoTX2569gaL837ZgrB6wNjj6tkmnX9Rdk9B2       6               2020           
BOBA            bobaM3u8QmqZhY1HwAtnvze9DLXvkgKYk3td3t8MLva        6               2020           
DADDY           4Cnk9EPnW5ixfLZatCPJjDB1PUtcRpVVgTQukm9epump       6               2020           
PUPS            2oGLxYuNBJRcepT1mEV6KnETaLD7Bf6qq3CM6skasBfe       9               2020           
NUB             GtDZKAqvMZMnti46ZewMiXCa4oXF4bZxwQPoKzXPFxZn       9               2020           
SSOL            sSo14endRuUbvQaJS3dq36Q829a3A6BEfoeeRGJywEh        9               2020           
